"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,,,Date,Annual
1953.875,114.2244594,1963,73.36701774,189.3,3.83,Fed. Res.,1953.875,14.35993688,PHCPI,1963,,ENR,1953.875,26.90,BLS,,1963,30.4
1953.958333,114.2244594,1964,74.36711732,191.927,4.17,Fed. Res.,1953.958333,14.35993688,PHCPI,1964,,ENR,1953.958333,26.90,BLS,,1964,30.9
1954.041667,114.2244594,1965,75.45724616,194.347,4.19,Fed. Res.,1954.041667,14.35993688,PHCPI,1965,,ENR,1954.041667,26.90,BLS,,1965,31.2
1954.125,114.3562062,1966,76.74926786,196.599,4.61,Fed. Res.,1954.125,14.37649967,PHCPI,1966,,ENR,1954.125,26.90,BLS,,1966,31.8
1954.208333,114.3562062,1967,77.15051023,198.752,4.58,Fed. Res.,1954.208333,14.37649967,PHCPI,1967,,ENR,1954.208333,26.90,BLS,,1967,32.9
1954.291667,114.6506701,1968,79.39056457,200.745,5.53,Fed. Res.,1954.291667,14.35993688,PHCPI,1968,,ENR,1954.291667,26.80,BLS,,1968,34.1
1954.375,114.2244594,1969,83.32303834,202.736,6.04,Fed. Res.,1954.375,14.35993688,PHCPI,1969,,ENR,1954.375,26.90,BLS,,1969,35.6
1954.458333,114.3562062,1970,83.04289525,205.089,7.79,Fed. Res.,1954.458333,14.37649967,PHCPI,1970,,ENR,1954.458333,26.90,BLS,,1970,37.8
1954.541667,114.7514465,1971,89.43618588,207.692,6.24,Fed. Res.,1954.541667,14.42618803,PHCPI,1971,,ENR,1954.541667,26.90,BLS,,1971,39.8
1954.625,115.0149401,1972,95.74309566,209.924,5.95,Fed. Res.,1954.625,14.45931361,PHCPI,1972,,ENR,1954.625,26.90,BLS,,1972,41.1
1954.708333,115.708577,1973,100.3045578,211.939,6.46,Fed. Res.,1954.708333,14.49243918,PHCPI,1973,,ENR,1954.708333,26.80,BLS,,1973,42.6
