Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TDGXUSAM,"United States Exports of Goods, Balance of Payments Basis (Mil. of $, SA)",Balance of Payments,United States Dollar,United States,,,,,,,National Currency,Millions,Monthly,SA,Annual From Dec 1790 To Jul 1866<BR>Monthly From Aug 1866 To Feb 2019<BR>,"SOURCE: Pre 1866 data are from B. R. Mitchell, International Historical Statistics: The Americas 1750-2000, Fourth Edition, Stockton Press, 2003<br />Dat from   1866-1909 DATA ARE FROM MONTHLY SUMARY OF COMMERCE AND FINANCE, DECEMBER, 1910 SUPPLEMENT""CALENDAR YEAR STATEMENTS,"" 1910, PP. 1120-1126.  1910-JUNE, 1914 DATA ARE FROM SUCCESSIVE ISSUES OF MONTHLY SUMMARY OF COMMERCE AND FINANCE.  BEGINNING WITH JULY, 1914 ENTRIES, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE, SUCCESSIVE ISSUES. 1942-1944 DATA ARE FROM FOREIGN COMMERCE AND NAVIGATION; BEGINNING WITH 1945, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE OF THE UNITED STATES (ISSUED QUARTERLY BEGINNING IN APRIL, 1951.  BEGINNING WITH 1946 DATA, SEE SUMMARY REPORT  FT 900-E, TOTAL EXPORT TRADE.  REVISED BACK FIGURES MAY BE FOUND IN WORLD TRADE INFORMATION SERVICE   STATISTICAL REPORTS, PART 3, TOTAL EXPORT AND IMPORT TRADE OF THE UNITED STATES (THROUGH THE 1962 ISSUES); UNITED STATES DEPARTMENT OF COMMERCE, OVERSEAS BUSINESS (BUREAU OF INTERNATIONAL COMMERCE) 1962-1965 ISSUES; BUREAU OF THE CENSUS, HIGHLIGHTS OF UNITED STATES EXPORT AND IMPORT TRADE (FT 990), MONTHLY, BEGINNING IN 1967.  SCATTERED REVISIONS FOR 1946-1963 ARE FROM 1963 ISSUE OF FOREIGN COMMERCE AND NAVIGATION (PREPRINT TABLE /21/66).Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close,Percent_Gdp,Annual_Percent_Change,,,,,,,,,,
7/31/1945,TDGXUSAM,,,,12373.3,5.51,-16.12459328,,,,,,,,,,
8/31/1945,TDGXUSAM,,,,11920.4,5.31,-18.70366708,,,,,,,,,,
9/30/1945,TDGXUSAM,,,,11240.6,5,-22.94255962,,,,,,,,,,
10/31/1945,TDGXUSAM,,,,10552.2,4.7,-27.19608114,,,,,,,,,,
11/30/1945,TDGXUSAM,,,,10006.4,4.46,-31.49538917,,,,,,,,,,
12/31/1945,TDGXUSAM,,,,9805.5,4.3,-31.23049409,,,,,,,,,,
1/31/1946,TDGXUSAM,,,,9701.1,4.25,-30.88907886,,,,,,,,,,
2/28/1946,TDGXUSAM,,,,9484.1,4.16,-31.35869841,,,,,,,,,,
3/31/1946,TDGXUSAM,,,,9271.1,4.06,-32.07537493,,,,,,,,,,
4/30/1946,TDGXUSAM,,,,9022.5,3.95,-32.78628684,,,,,,,,,,
5/31/1946,TDGXUSAM,,,,8737.8,3.83,-33.31908821,,,,,,,,,,
6/30/1946,TDGXUSAM,,,,8747.5,3.83,-30.9900045,,,,,,,,,,
7/31/1946,TDGXUSAM,,,,8678.4,3.8,-29.86188002,,,,,,,,,,
8/31/1946,TDGXUSAM,,,,8823.7,3.87,-25.9781551,,,,,,,,,,
9/30/1946,TDGXUSAM,,,,8952.4,3.92,-20.3565646,,,,,,,,,,
10/31/1946,TDGXUSAM,,,,9033.5,3.96,-14.39225943,,,,,,,,,,
11/30/1946,TDGXUSAM,,,,9379.8,4.11,-6.261992325,,,,,,,,,,
12/31/1946,TDGXUSAM,,,,9738.3,4.27,-0.685329662,,,,,,,,,,
1/31/1947,TDGXUSAM,,,,10053.9,4.41,3.636700993,,,,,,,,,,
2/28/1947,TDGXUSAM,,,,10530.1,4.62,11.02898535,,,,,,,,,,
3/31/1947,TDGXUSAM,,,,11040.6,4.85,19.08619258,,,,,,,,,,
4/30/1947,TDGXUSAM,,,,11578.4,5.08,28.32806872,,,,,,,,,,
5/31/1947,TDGXUSAM,,,,12140.9,5.33,38.9468745,,,,,,,,,,
6/30/1947,TDGXUSAM,,,,12497.9,5.49,42.87396399,,,,,,,,,,
7/31/1947,TDGXUSAM,,,,12827.1,5.63,47.80489491,,,,,,,,,,
8/31/1947,TDGXUSAM,,,,13088.9,5.75,48.3379988,,,,,,,,,,
9/30/1947,TDGXUSAM,,,,13558.1,5.95,51.44653948,,,,,,,,,,
10/31/1947,TDGXUSAM,,,,14256.4,6.26,57.81701445,,,,,,,,,,
11/30/1947,TDGXUSAM,,,,14412.3,6.33,53.6525299,,,,,,,,,,
