Date,Ticker,Open,High,Low,Close,Real_Open,Real_High,Real_Low,Real_Close,Close_Percent_Change,Period_Change,,,,,,,
7/31/1981,CPUSAM,,,,91.6,,,,254.202,0.011037528,1,,,,,,,
8/31/1981,CPUSAM,,,,92.3,,,,254.202,0.007641921,0.7,,,,,,,
9/30/1981,CPUSAM,,,,93.2,,,,254.202,0.009750813,0.9,,,,,,,
10/31/1981,CPUSAM,,,,93.4,,,,254.202,0.002145923,0.2,,,,,,,
11/30/1981,CPUSAM,,,,93.7,,,,254.202,0.003211991,0.3,,,,,,,
12/31/1981,CPUSAM,,,,94,,,,254.202,0.003201708,0.3,,,,,,,
1/31/1982,CPUSAM,,,,94.3,,,,254.202,0.003191489,0.3,,,,,,,
2/28/1982,CPUSAM,,,,94.6,,,,254.202,0.003181336,0.3,,,,,,,
3/31/1982,CPUSAM,,,,94.5,,,,254.202,-0.001057082,-0.1,,,,,,,
4/30/1982,CPUSAM,,,,94.9,,,,254.202,0.004232804,0.4,,,,,,,
5/31/1982,CPUSAM,,,,95.8,,,,254.202,0.009483667,0.9,,,,,,,
6/30/1982,CPUSAM,,,,97,,,,254.202,0.012526096,1.2,,,,,,,
7/31/1982,CPUSAM,,,,97.5,,,,254.202,0.005154639,0.5,,,,,,,
8/31/1982,CPUSAM,,,,97.7,,,,254.202,0.002051282,0.2,,,,,,,
9/30/1982,CPUSAM,,,,97.9,,,,254.202,0.002047083,0.2,,,,,,,
10/31/1982,CPUSAM,,,,98.2,,,,254.202,0.003064351,0.3,,,,,,,
11/30/1982,CPUSAM,,,,98,,,,254.202,-0.00203666,-0.2,,,,,,,
12/31/1982,CPUSAM,,,,97.6,,,,254.202,-0.004081633,-0.4,,,,,,,
1/31/1983,CPUSAM,,,,97.8,,,,254.202,0.00204918,0.2,,,,,,,
2/28/1983,CPUSAM,,,,97.9,,,,254.202,0.001022495,0.1,,,,,,,
3/31/1983,CPUSAM,,,,97.9,,,,254.202,0,0,,,,,,,
4/30/1983,CPUSAM,,,,98.6,,,,254.202,0.007150153,0.7,,,,,,,
5/31/1983,CPUSAM,,,,99.2,,,,254.202,0.006085193,0.6,,,,,,,
6/30/1983,CPUSAM,,,,99.5,,,,254.202,0.003024194,0.3,,,,,,,
7/31/1983,CPUSAM,,,,99.9,,,,254.202,0.004020101,0.4,,,,,,,
8/31/1983,CPUSAM,,,,100.2,,,,254.202,0.003003003,0.3,,,,,,,
9/30/1983,CPUSAM,,,,100.7,,,,254.202,0.00499002,0.5,,,,,,,
10/31/1983,CPUSAM,,,,101,,,,254.202,0.002979146,0.3,,,,,,,
11/30/1983,CPUSAM,,,,101.2,,,,254.202,0.001980198,0.2,,,,,,,
12/31/1983,CPUSAM,,,,101.3,,,,254.202,0.000988142,0.1,,,,,,,
1/31/1984,CPUSAM,,,,101.9,,,,254.202,0.005923001,0.6,,,,,,,
2/29/1984,CPUSAM,,,,102.4,,,,254.202,0.004906771,0.5,,,,,,,
3/31/1984,CPUSAM,,,,102.6,,,,254.202,0.001953125,0.2,,,,,,,
4/30/1984,CPUSAM,,,,103.1,,,,254.202,0.004873294,0.5,,,,,,,
5/31/1984,CPUSAM,,,,103.4,,,,254.202,0.002909796,0.3,,,,,,,
6/30/1984,CPUSAM,,,,103.7,,,,254.202,0.002901354,0.3,,,,,,,
7/31/1984,CPUSAM,,,,104.1,,,,254.202,0.003857281,0.4,,,,,,,
8/31/1984,CPUSAM,,,,104.5,,,,254.202,0.003842459,0.4,,,,,,,
9/30/1984,CPUSAM,,,,105,,,,254.202,0.004784689,0.5,,,,,,,
10/31/1984,CPUSAM,,,,105.3,,,,254.202,0.002857143,0.3,,,,,,,
