"date","housing_price"
1974-05-17,102.7464955
1974-06-17,102.4863589
1974-07-17,102.1586945
1974-08-17,101.8542271
1974-09-16,101.6270196
1974-10-16,101.4648739
1974-11-16,101.4337656
1974-12-16,102.2225561
1975-01-16,103.76661
1975-02-15,103.1471856
1975-03-18,103.0196487
1975-04-17,102.8000444
1975-05-17,102.5260205
1975-06-17,101.6970285
1975-07-17,101.1120852
1975-08-17,101.5248417
1975-09-16,101.9859317
1975-10-16,102.1808497
1975-11-16,102.1614397
1975-12-16,102.082443
1976-01-16,102.2721396
1976-02-15,102.1011395
1976-03-17,102.8141905
1976-04-16,103.4736537
1976-05-17,103.952979
1976-06-16,103.7241376
1976-07-17,104.0298226
1976-08-16,104.1608358
1976-09-16,104.5458427
1976-10-16,104.3441459
1976-11-16,104.7692692
1976-12-16,105.2768939
1977-01-16,105.6075348
1977-02-15,105.7627346
1977-03-18,106.5549295
1977-04-17,107.5463674
1977-05-17,108.3348914
1977-06-17,108.4352834
1977-07-17,109.0139529
1977-08-17,109.7590295
1977-09-16,110.8338026
1977-10-16,111.8633873
1977-11-16,112.4723368
1977-12-16,113.1231191
1978-01-16,113.5323318
1978-02-15,114.0758136
1978-03-18,114.7522719
1978-04-17,115.3478243
1978-05-17,115.8439562
1978-06-17,116.3264561
1978-07-17,117.0663233
1978-08-17,118.0709184
1978-09-16,118.4123049
1978-10-16,118.4919019
1978-11-16,119.2026123
1978-12-16,120.0808571
1979-01-16,120.6174565
1979-02-15,120.7197567
1979-03-18,121.0939713
1979-04-17,121.2765909
1979-05-17,121.3032066
1979-06-17,121.4792171
1979-07-17,121.4962373
1979-08-17,121.5557675
1979-09-16,121.2704562
1979-10-16,121.3698921
1979-11-16,121.1131964
1979-12-16,120.572498
1980-01-16,119.4700601
1980-02-15,118.4851443
1980-03-17,117.7064893
1980-04-16,117.4896372
1980-05-17,117.1645733
1980-06-16,116.5932616
1980-07-17,117.4030987
1980-08-16,117.2381644
1980-09-16,116.8266796
1980-10-16,116.2014384
1980-11-16,115.713064
1980-12-16,115.0941369
1981-01-16,114.5197948
1981-02-15,113.802447
1981-03-18,113.7054637
1981-04-17,113.9459956
1981-05-17,113.8440899
1981-06-17,113.5686194
1981-07-17,112.9057667
1981-08-17,112.6244152
1981-09-16,111.7480583
1981-10-16,111.6599705
1981-11-16,111.3093187
1981-12-16,111.0428522
1982-01-16,110.7644668
1982-02-15,110.591893
1982-03-18,110.6477863
1982-04-17,110.3257121
1982-05-17,109.4321957
1982-06-17,108.0695717
1982-07-17,107.486839
1982-08-17,107.2186223
1982-09-16,107.036741
1982-10-16,106.7119238
1982-11-16,106.9362534
1982-12-16,107.5564814
1983-01-16,107.695339
1983-02-15,108.1448542
1983-03-18,108.5929078
1983-04-17,108.3775127
1983-05-17,108.2634069
1983-06-17,108.4660031
1983-07-17,108.6485637
1983-08-17,108.8037467
1983-09-16,108.55249
1983-10-16,108.4334371
1983-11-16,108.3671468
1983-12-16,108.5432145
1984-01-16,108.2190733
1984-02-15,108.03753
1984-03-17,108.3191101
1984-04-16,108.3977383
1984-05-17,108.7640611
1984-06-16,109.0746164
1984-07-17,109.2556947
1984-08-16,109.359626
1984-09-16,109.1608442
1984-10-16,109.0510158
1984-11-16,109.0672721
1984-12-16,109.3029877
1985-01-16,109.4709915
1985-02-15,109.449179
1985-03-18,109.6591223
1985-04-17,109.8888174
1985-05-17,110.3167121
1985-06-17,110.8005989
1985-07-17,111.3870097
1985-08-17,111.9474739
1985-09-16,112.3604919
1985-10-16,112.5808699
1985-11-16,112.8854504
1985-12-16,113.1746552
1986-01-16,113.5423214
1986-02-15,114.5274027
1986-03-18,115.9210219
1986-04-17,117.2043692
1986-05-17,117.9936013
1986-06-17,118.5136532
1986-07-17,119.6900159
1986-08-17,120.507533
1986-09-16,120.8519959
1986-10-16,121.4194606
1986-11-16,121.9161235
1986-12-16,122.7023485
1987-01-16,122.6746137
1987-02-15,123.0018478
1987-03-18,123.0945685
1987-04-17,123.3980254
1987-05-17,124.0494421
1987-06-17,124.8734785
1987-07-17,125.60475
1987-08-17,125.8437724
1987-09-16,125.8477213
1987-10-16,126.0380434
1987-11-16,126.2829743
1987-12-16,126.7483747
1988-01-16,126.8580297
